"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Charizard","Dragon Breath","Blast Burn","15.732","472","36.82","3305"
"Nihilego","Acid","Power Gem","15.731","716.6","40.87","4518"
"Galarian Darmanitan","Tackle","Ice Punch","15.73","399.5","35.31","3552"
"Meloetta (Aria Forme)","Confusion","Psyshock","15.73","719.3","40.91","4544"
"Shadow Camerupt","Ember","Earth Power","15.728","293.8","32.7","2509"
"Xerneas","Geomancy","Megahorn","15.726","651.7","39.9","4326"
"Darmanitan (Zen Mode)","Tackle","Psychic","15.722","671.7","40.2","4276"
"Dhelmise","Astonish","Power Whip","15.713","452.6","36.4","3375"
"Salamence","Fire Fang","Hydro Pump","15.712","527.3","37.82","4289"
"Mega Aggron","Iron Tail","Heavy Slam","15.71","807","42.06","4761"
"Kingler","Bubble","Razor Shell","15.708","393.5","35.14","3236"
"Salamence","Bite","Return","15.708","527.2","37.81","4289"
"Genesect","Metal Claw","X-Scissor","15.706","504.3","37.39","3836"
"Genesect - Burn Drive","Metal Claw","X-Scissor","15.706","504.3","37.39","3836"
"Genesect - Chill Drive","Metal Claw","X-Scissor","15.706","504.3","37.39","3836"
"Genesect - Douse Drive","Metal Claw","X-Scissor","15.706","504.3","37.39","3836"
"Genesect - Shock Drive","Metal Claw","X-Scissor","15.706","504.3","37.39","3836"
"Shadow Nidoking","Fury Cutter","Earthquake","15.706","366","34.51","2936"
"Xerneas","Tackle","Giga Impact","15.706","650.9","39.85","4326"
"Shadow Flygon","Mud Shot","Dragon Claw","15.704","389.8","35.05","3044"
"Keldeo","Poison Jab","Hydro Pump","15.698","577.9","38.67","4231"
"Shadow Alolan Muk","Poison Jab","Gunk Shot","15.698","481.7","36.95","3154"
"Shadow Hippowdon","Bite","Earth Power","15.698","543.4","38.08","3530"
"Shadow Muk","Poison Jab","Gunk Shot","15.698","481.7","36.95","3154"
"Shadow Tangela","Vine Whip","Solar Beam","15.696","340.1","33.87","2560"
"Shadow Typhlosion","Ember","Solar Beam","15.694","392.4","35.09","3305"
"Reshiram","Dragon Breath","Stone Edge","15.692","619.4","39.33","4620"
"Alakazam","Counter","Dazzling Gleam","15.69","365","34.46","3498"
"Shadow Swampert","Mud Shot","Earthquake","15.689","473.3","36.77","3402"
"Mamoswine","Powder Snow","High Horsepower","15.687","515.3","37.56","3808"
"Shadow Toxicroak","Mud Shot","Shadow Ball","15.687","322.6","33.4","2846"
"Darmanitan","Incinerate","Focus Blast","15.686","398.4","35.21","3552"
"Tapu Bulu","Bullet Seed","Dazzling Gleam","15.685","535.6","37.91","3912"
"Genesect","Fury Cutter","Techno Blast (Normal)","15.684","503.6","37.34","3836"
"Genesect - Burn Drive","Fury Cutter","Techno Blast (Burn)","15.684","503.6","37.34","3836"
"Genesect - Chill Drive","Fury Cutter","Techno Blast (Chill)","15.684","503.6","37.34","3836"
"Genesect - Douse Drive","Fury Cutter","Techno Blast (Douse)","15.684","503.6","37.34","3836"
"Genesect - Shock Drive","Fury Cutter","Techno Blast (Shock)","15.684","503.6","37.34","3836"
"Yanmega","Bug Bite","Bug Buzz","15.684","457.8","36.46","3370"
"Haunter","Astonish","Shadow Ball","15.683","217.2","30.25","2246"
"Magmortar","Fire Spin","Fire Blast","15.683","456.3","36.42","3584"
"White Kyurem","Dragon Breath","Ancient Power","15.683","641","39.65","5268"
"Shadow Magmar","Ember","Flamethrower","15.682","312.1","33.12","2738"
"Naganadel","Poison Jab","Acrobatics","15.679","415.8","35.58","3630"
"Dragonite","Steel Wing","Dragon Pulse","15.678","593.9","38.9","4338"
"Flareon","Ember","Overheat","15.675","429.7","35.87","3465"
"Sceptile","Fury Cutter","Leaf Blade","15.674","428.2","35.83","3154"
"Aegislash - Blade","Fury Cutter","Flash Cannon","15.673","236.9","30.9","3017"
"Mega Pinsir","Rock Smash","Return","15.671","544.8","38.05","4784"
"Manectric","Snarl","Wild Charge","15.67","330.4","33.58","2678"
"Shadow Infernape","Rock Smash","Solar Beam","15.665","340.6","33.83","3070"
"Shadow Weepinbell","Acid","Sludge Bomb","15.661","197.3","29.51","1844"
"Shadow Machoke","Low Kick","Dynamic Punch","15.66","297.4","32.69","2324"
"Latios","Zen Headbutt","Solar Beam","15.658","578.5","38.6","4362"
"Magmortar","Fire Spin","Fire Punch","15.657","455.6","36.36","3584"
"Toxicroak","Counter","Sludge Bomb","15.657","386.3","34.9","2846"
"Feraligatr","Shadow Claw","Hydro Cannon","15.656","537.4","37.9","3268"
"Groudon","Dragon Tail","Return","15.655","664.4","39.96","4708"
"Shadow Gigalith","Mud Slap","Solar Beam","15.654","476.5","36.77","3693"
"Shadow Ho-Oh","Hidden Power (Fire)","Earthquake","15.654","614.3","39.18","4420"
"Shadow Ho-Oh","Hidden Power (Flying)","Earthquake","15.654","614.3","39.18","4420"
"Entei","Fire Fang","Return","15.653","614.9","39.19","3973"
"Shadow Sawk","Poison Jab","Brick Break","15.653","341","33.82","3189"
"Shadow Piloswine","Powder Snow","Avalanche","15.651","380.2","34.75","2683"
"Shadow Camerupt","Incinerate","Overheat","15.65","292.4","32.54","2509"
"Shadow Porygon-Z","Charge Beam","Zap Cannon","15.65","363.9","34.37","3737"
"Feraligatr","Ice Fang","Hydro Cannon","15.649","537.2","37.88","3268"
"Shadow Ursaring","Counter","Close Combat","15.649","365.5","34.4","3369"
"Beheeyem","Confusion","Psychic","15.648","433.4","35.9","3149"
"Duraludon","Metal Claw","Dragon Claw","15.646","464.6","36.52","3509"
"Blaziken","Fire Spin","Return","15.645","397.2","35.12","3258"
"Scovillain","Fire Fang","Leaf Storm","15.644","320.6","33.28","2651"
"Mega Pidgeot","Gust","Air Cutter","15.641","495.5","37.11","4210"
"Alakazam","Psycho Cut","Dazzling Gleam","15.639","363.8","34.35","3498"
"Shadow Gardevoir","Charge Beam","Triple Axel","15.639","399.8","35.17","3539"
"Magmortar","Fire Spin","Psychic","15.638","455.1","36.32","3584"
"Garchomp","Dragon Tail","Fire Blast","15.636","655.9","39.79","4532"
"Shadow Piloswine","Ice Shard","Avalanche","15.636","379.9","34.71","2683"
"Shadow Gallade","Charm","Close Combat","15.635","399.7","35.16","3539"
"Shadow Moltres","Fire Spin","Ancient Power","15.634","450.1","36.21","3964"
"Weavile","Snarl","Return","15.633","431.7","35.84","3438"
"Shadow Machamp","Bullet Punch","Cross Chop","15.631","399.5","35.14","3496"
"Drampa","Dragon Breath","Fly","15.628","446.4","36.13","3334"
"Shadow Hitmonlee","Double Kick","Brick Break","15.628","308","32.93","2947"
"Mega Charizard X","Air Slash","Flamethrower","15.625","568.5","38.38","4405"
"Shadow Scyther","Fury Cutter","Aerial Ace","15.625","357.6","34.18","3096"
"Shadow Ampharos","Volt Switch","Zap Cannon","15.618","422.1","35.61","3263"
"Sharpedo","Bite","Crunch","15.617","227.2","30.5","2495"
"Mega Charizard X","Ember","Return","15.615","568.1","38.35","4405"
"Urshifu (Rapid Strike Style)","Waterfall","Close Combat","15.612","571.1","38.39","4126"
"Mienshao","Low Kick","Blaze Kick","15.611","313.3","33.04","3101"
"Rhyperior","Smack Down","Earthquake","15.61","675.8","40.04","4271"
"Shadow Reuniclus","Hidden Power (Fire)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Fighting)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Water)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Flying)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Grass)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Poison)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Electric)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Ground)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Rock)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Ice)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Bug)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Dragon)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Ghost)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Dark)","Shadow Ball","15.609","432.6","35.81","3349"
"Shadow Reuniclus","Hidden Power (Steel)","Shadow Ball","15.609","432.6","35.81","3349"
"Tapu Bulu","Bullet Seed","Solar Beam","15.609","533","37.73","3912"
"Shadow Aggron","Iron Tail","Heavy Slam","15.607","525.2","37.59","3432"
"Absol","Snarl","Payback","15.606","297.7","32.61","2890"
"Shadow Abomasnow","Razor Leaf","Weather Ball Ice","15.603","396.5","35.03","2702"
"Shadow Girafarig","Double Kick","Psychic","15.6","285.6","32.27","2341"
"Shadow Latias","Dragon Breath","Thunder","15.6","552.2","38.05","4016"
"Cacturne","Poison Jab","Grass Knot","15.597","301","32.69","2629"
"Shadow Flygon","Mud Shot","Boomburst","15.597","387.1","34.81","3044"
"Landorus (Therian Forme)","Mud Shot","Superpower","15.595","528.4","37.63","4487"
"Entei","Fire Fang","Fire Blast","15.594","612.5","39.04","3973"
"Shadow Gyarados","Waterfall","Crunch","15.593","479","36.71","3879"
"Hisuian Arcanine","Fire Fang","Wild Charge","15.591","514.7","37.37","3598"
"Gardevoir","Charm","Synchronoise","15.59","478.3","36.69","3539"
"Latias","Dragon Breath","Psychic","15.588","662.1","39.79","4016"
"Meloetta (Aria Forme)","Quick Attack","Psyshock","15.585","712.7","40.53","4544"
"Tyranitar","Bite","Return","15.585","659.3","39.75","4387"
"Nihilego","Pound","Gunk Shot","15.583","709.8","40.48","4518"
"Shadow Aerodactyl","Steel Wing","Earth Power","15.583","367.8","34.35","3184"
"Shadow Banette","Shadow Claw","Thunder","15.583","257.3","31.41","2630"
"Grimmsnarl","Bite","Foul Play","15.581","440.1","35.92","3261"
"Shadow Machamp","Bullet Punch","Close Combat","15.58","398.2","35.03","3496"
"Mega Lopunny","Pound","Fire Punch","15.579","504.2","37.16","4284"
"Porygon-Z","Charge Beam","Tri-Attack","15.577","434.6","35.8","3737"
"Roserade","Bullet Seed","Sludge Bomb","15.576","420.5","35.5","3399"
"Urshifu (Rapid Strike Style)","Counter","Brick Break","15.575","569.8","38.31","4126"
"Urshifu (Single Strike Style)","Counter","Brick Break","15.575","569.8","38.31","4126"
"Lucario","Counter","Blaze Kick","15.574","367.6","34.33","3092"
"Darmanitan","Tackle","Psychic","15.573","395.5","34.96","3552"
"Decidueye","Astonish","Frenzy Plant","15.573","482.1","36.73","3174"
"Mega Aerodactyl","Steel Wing","Iron Head","15.57","570.2","38.3","4711"
"Arcanine","Fire Fang","Flamethrower","15.568","496.7","37","3466"
"Exeggutor","Bullet Seed","Psychic","15.568","468.2","36.46","3449"
"Ho-Oh","Hidden Power (Fighting)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Water)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Grass)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Poison)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Electric)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Ground)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Psychic)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Rock)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Ice)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Bug)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Dragon)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Ghost)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Dark)","Sacred Fire++","15.568","733.1","40.78","4420"
"Ho-Oh","Hidden Power (Steel)","Sacred Fire++","15.568","733.1","40.78","4420"
"Tyranitar","Bite","Stone Edge","15.568","658.5","39.7","4387"
"Nihilego","Pound","Rock Slide","15.567","709.1","40.44","4518"
"Krookodile","Snarl","Earthquake","15.566","493.9","36.94","3485"
"Pawmot","Spark","Thunderbolt","15.563","360.4","34.14","3014"
"Mega Slowbro","Confusion","Psychic","15.561","782","41.43","4296"
"Frosmoth","Bug Bite","Bug Buzz","15.558","392.7","34.87","3121"
"Shadow Sneasel","Feint Attack","Foul Play","15.558","266.8","31.66","2346"
"Sharpedo","Waterfall","Crunch","15.555","226.3","30.38","2495"
"Shadow Empoleon","Metal Claw","Drill Peck","15.554","438.5","35.84","3318"
"Shadow Milotic","Waterfall","Surf","15.552","556.2","38.03","3438"
"Shadow Scyther","Air Slash","Aerial Ace","15.552","356","34.02","3096"
"Charizard","Fire Spin","Overheat","15.55","466.5","36.39","3305"
"Groudon","Mud Shot","Solar Beam","15.549","659.9","39.69","4708"
"Dialga","Dragon Breath","Thunder","15.546","613.7","38.97","4620"
"Landorus (Therian Forme)","Extrasensory","Superpower","15.546","526.8","37.51","4487"
"Mega Abomasnow","Leafage","Return","15.545","564.4","38.16","3896"
"Incineroar","Fire Fang","Blaze Kick","15.544","541.6","37.77","3427"
"Shadow Blastoise","Bite","Hydro Cannon","15.544","463.5","36.32","2821"
"Simisage","Vine Whip","Grass Knot","15.544","358","34.05","2689"
"Mega Ampharos","Volt Switch","Power Gem","15.541","597.1","38.69","4857"
"Shadow Golem","Mud Slap","Rock Blast","15.541","449","36.03","3374"
"Urshifu (Single Strike Style)","Sucker Punch","Payback","15.541","568.5","38.22","4126"
"Cobalion","Double Kick","Sacred Sword","15.538","674.2","39.88","3457"
"Virizion","Double Kick","Sacred Sword","15.538","674.2","39.88","3457"
"Shadow Empoleon","Waterfall","Drill Peck","15.536","438","35.8","3318"
"Shadow Venusaur","Vine Whip","Petal Blizzard","15.536","429.9","35.63","3112"
"Ursaring","Shadow Claw","Return","15.536","435.4","35.75","3369"
"Shadow Duosion","Hidden Power (Fire)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Fighting)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Water)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Flying)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Grass)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Poison)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Electric)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Ground)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Rock)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Ice)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Bug)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Dragon)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Ghost)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Dark)","Psyshock","15.535","215.9","29.99","2309"
"Shadow Duosion","Hidden Power (Steel)","Psyshock","15.535","215.9","29.99","2309"
"Flareon","Fire Spin","Fire Blast","15.533","425.8","35.54","3465"
"Shadow Hitmonlee","Low Kick","Close Combat","15.533","306.2","32.73","2947"
"Guzzlord","Dragon Tail","Brutal Swing","15.532","639.6","39.35","3303"
"Roserade","Poison Jab","Weather Ball Fire","15.531","419.2","35.4","3399"
"Shadow Machamp","Bullet Punch","Submission","15.531","396.9","34.92","3496"
"Shadow Donphan","Counter","Play Rough","15.528","456.1","36.15","3447"
"Shadow Hippowdon","Ice Fang","Earth Power","15.528","537.6","37.67","3530"
"Shadow Ho-Oh","Extrasensory","Earthquake","15.527","609.3","38.86","4420"
"Yveltal","Sucker Punch","Dark Pulse","15.526","643.4","39.39","4326"
"Toxicroak","Poison Jab","Dynamic Punch","15.525","383.1","34.6","2846"
"Shadow Banette","Hex","Dazzling Gleam","15.524","256.3","31.29","2630"
"Meowscarada","Charm","Grass Knot","15.52","409.9","35.18","3231"
"Exeggutor","Zen Headbutt","Solar Beam","15.519","466.8","36.34","3449"
"Hisuian Typhlosion","Hex","Overheat","15.518","442.3","35.86","3425"
"Shaymin (Sky Forme)","Hidden Power (Flying)","Seed Flare","15.517","535.1","37.6","4110"
"Shaymin (Sky Forme)","Hidden Power (Grass)","Seed Flare","15.517","535.1","37.6","4110"
"Tyranitar","Smack Down","Return","15.516","656.3","39.57","4387"
"Volcarona","Fire Spin","Hurricane","15.515","535.2","37.6","4155"
"Haxorus","Dragon Tail","Night Slash","15.514","456.1","36.12","4110"
"Shadow Crobat","Bite","Sludge Bomb","15.514","421.9","35.43","3027"
"Tsareena","Razor Leaf","Grass Knot","15.514","494","36.85","3391"
"Shadow Hippowdon","Fire Fang","Earthquake","15.512","537","37.63","3530"
"Shadow Meganium","Razor Leaf","Frenzy Plant","15.509","456.4","36.12","2757"
"Shadow Sneasel","Ice Shard","Triple Axel","15.509","266","31.56","2346"
"Zacian - Hero of Many Battles","Snarl","Wild Charge","15.509","639.7","39.3","4381"
"Shadow Aggron","Smack Down","Heavy Slam","15.507","521.8","37.35","3432"
"Grimmsnarl","Sucker Punch","Foul Play","15.505","437.9","35.74","3261"
"Sirfetch'd","Fury Cutter","Brave Bird","15.505","406.8","35.09","3415"
"Yveltal","Snarl","Hyper Beam","15.505","642.6","39.34","4326"
"Shadow Luxray","Hidden Power (Electric)","Hyper Beam","15.504","359.6","34.02","3304"
"Heatran","Bug Bite","Flamethrower","15.503","628.6","39.12","4295"
"Shadow Mamoswine","Mud Slap","Ancient Power","15.503","424.4","35.46","3808"
"Shadow Machamp","Bullet Punch","Heavy Slam","15.502","396.2","34.85","3496"
"Mega Abomasnow","Razor Leaf","Blizzard","15.498","562.7","38.04","3896"
"Mega Ampharos","Charge Beam","Focus Blast","15.495","595.3","38.58","4857"
"Brambleghast","Bullet Seed","Power Whip","15.494","314.9","32.9","2778"
"Mega Blastoise","Water Gun","Return","15.493","629.2","39.11","4508"
"Shadow Kabutops","Waterfall","Ancient Power","15.493","350.2","33.78","3103"
"Wishiwashi (School Form)","Waterfall","Aqua Tail","15.492","452","36","3698"
"Gigalith","Mud Slap","Meteor Beam","15.491","565.8","38.08","3693"
"Mega Aggron","Dragon Tail","Meteor Beam","15.49","795.7","41.47","4761"
"Baxcalibur","Ice Fang","Blizzard","15.488","549","37.79","4061"
"Latias","Dragon Breath","Outrage","15.488","657.9","39.54","4016"
"Togekiss","Air Slash","Aura Sphere","15.488","607.6","38.76","3812"
"Incineroar","Snarl","Blaze Kick","15.487","539.7","37.63","3427"
"Porygon-Z","Charge Beam","Hyper Beam","15.487","432.1","35.59","3737"
"Shadow Cacturne","Poison Jab","Payback","15.487","249.1","31.02","2629"
"Shadow Charizard","Air Slash","Dragon Claw","15.487","387.2","34.63","3305"
"Shadow Garchomp","Dragon Tail","Sand Tomb","15.485","541.3","37.65","4532"
"Gardevoir","Magical Leaf","Dazzling Gleam","15.483","475","36.44","3539"
"Excadrill","Mud Slap","Rock Slide","15.482","454.9","36.05","3711"
"Chien-Pao","Powder Snow","Blizzard","15.479","458.5","36.11","3809"
"Shadow Staraptor","Wing Attack","Close Combat","15.478","338.1","33.46","3232"
"Roserade","Magical Leaf","Weather Ball Fire","15.476","417.8","35.28","3399"
"Shadow Donphan","Mud Slap","Trailblaze","15.476","454.6","36.03","3447"
"Shadow Gyarados","Dragon Tail","Dragon Pulse","15.476","475.4","36.43","3879"
"Shadow Infernape","Rock Smash","Close Combat","15.476","336.5","33.42","3070"
"Shadow Slowbro","Confusion","Psychic","15.475","461.2","36.16","2911"
"Shadow Slowking","Confusion","Psychic","15.475","461.2","36.16","2911"
"Volcanion","Incinerate","Sludge Bomb","15.475","581.8","38.32","4151"
"Shadow Charizard","Dragon Breath","Fire Blast","15.474","386.9","34.6","3305"
"Shadow Alolan Muk","Bite","Gunk Shot","15.472","474.7","36.41","3154"
"Thundurus  (Incarnate Forme)","Thunder Shock","Thunder","15.471","446.3","35.86","3827"
"Mega Blastoise","Bite","Hydro Pump","15.469","628.3","39.05","4508"
"Eternamax Eternatus","Poison Jab","Hyper Beam","15.466","2981.8","57.63","9366"
"Mega Glalie","Ice Shard","Shadow Ball","15.465","460.6","36.13","3695"
"Shaymin (Land Forme)","Magical Leaf","Grass Knot","15.464","663","39.57","3735"
"Incineroar","Double Kick","Darkest Lariat","15.463","538.8","37.57","3427"
"Tapu Bulu","Rock Smash","Grass Knot","15.459","527.9","37.37","3912"
"Shadow Absol","Psycho Cut","Megahorn","15.458","245.8","30.87","2890"
"Dialga","Metal Claw","Thunder","15.455","610.1","38.74","4620"
"Shadow Magneton","Charge Beam","Zap Cannon","15.454","286","32.05","2843"
"Gengar","Shadow Claw","Shadow Punch","15.448","341.9","33.51","3292"
"Shadow Donphan","Tackle","Earthquake","15.448","453.8","35.96","3447"
"Shadow Charizard","Wing Attack","Dragon Claw","15.445","386.1","34.54","3305"
"Gengar","Lick","Sludge Wave","15.444","341.9","33.5","3292"
"Houndoom","Fire Fang","Flamethrower","15.443","382.1","34.44","3014"
"Shadow Magnezone","Volt Switch","Flash Cannon","15.441","420.3","35.27","3666"
"Shadow Omastar","Rock Throw","Rock Blast","15.441","412.6","35.11","3188"
"Eternamax Eternatus","Poison Jab","Dragon Pulse","15.44","2976.7","57.53","9366"
"Yveltal","Sucker Punch","Hurricane","15.44","639.9","39.18","4326"
"Zacian - Hero of Many Battles","Fire Fang","Wild Charge","15.44","636.9","39.13","4381"
"Tatsugiri","Water Gun","Outrage","15.438","408.2","35.01","3142"
"Gengar","Lick","Focus Blast","15.434","341.6","33.48","3292"
"Jynx","Frost Breath","Avalanche","15.434","362.1","33.97","2923"
"Tapu Lele","Confusion","Focus Blast","15.434","511","37.02","3998"
"Mega Venusaur","Vine Whip","Petal Blizzard","15.432","655.5","39.4","4231"
"Kyurem","Steel Wing","Dragon Claw","15.43","589.2","38.36","4090"
"Hisuian Samurott","Snarl","Razor Shell","15.429","454.1","35.94","3205"
"Terrakion","Smack Down","Earthquake","15.429","568","38.01","4231"
"Genesect","Fury Cutter","X-Scissor","15.425","495.3","36.72","3836"
"Genesect - Burn Drive","Fury Cutter","X-Scissor","15.425","495.3","36.72","3836"
"Genesect - Chill Drive","Fury Cutter","X-Scissor","15.425","495.3","36.72","3836"
"Genesect - Douse Drive","Fury Cutter","X-Scissor","15.425","495.3","36.72","3836"
"Genesect - Shock Drive","Fury Cutter","X-Scissor","15.425","495.3","36.72","3836"
"Shadow Ho-Oh","Hidden Power (Fighting)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Water)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Grass)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Poison)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Electric)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Ground)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Psychic)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Rock)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Ice)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Bug)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Dragon)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Ghost)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Dark)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Ho-Oh","Hidden Power (Steel)","Fire Blast","15.424","605.2","38.6","4420"
"Shadow Alolan Golem","Rollout","Stone Edge","15.423","445.5","35.76","3374"
"Shadow Sandslash","Sand Attack","Scorching Sands","15.423","380","34.36","2716"
"Shadow Alolan Dugtrio","Mud Slap","Iron Head","15.422","201.8","29.33","2170"
"Shadow Tangela","Infestation","Grass Knot","15.421","334.2","33.27","2560"
"Shadow Tangela","Infestation","Power Whip","15.421","334.2","33.27","2560"
"Shadow Ho-Oh","Hidden Power (Fighting)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Water)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Grass)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Poison)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Electric)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Ground)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Psychic)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Rock)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Ice)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Bug)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Dragon)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Ghost)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Dark)","Solar Beam","15.42","605.1","38.59","4420"
"Shadow Ho-Oh","Hidden Power (Steel)","Solar Beam","15.42","605.1","38.59","4420"
"Scovillain","Leafage","Leaf Storm","15.418","315.9","32.8","2651"
"Shadow Weepinbell","Razor Leaf","Sludge Bomb","15.415","194.2","29.04","1844"
"Shadow Ursaring","Shadow Claw","Close Combat","15.414","360","33.88","3369"
"Necrozma","Shadow Claw","Future Sight","15.413","601.3","38.52","4213"
"Pawmot","Low Kick","Thunderbolt","15.412","357","33.81","3014"
"Ursaring","Metal Claw","Return","15.412","431.9","35.46","3369"
"Mega Banette","Hex","Thunder","15.411","379","34.32","4112"
"Shadow Empoleon","Metal Claw","Blizzard","15.411","434.5","35.51","3318"
"Urshifu (Single Strike Style)","Sucker Punch","Close Combat","15.411","563.8","37.9","4126"
"Shadow Pinsir","Fury Cutter","Close Combat","15.41","357.5","33.82","3385"
"Shadow Scyther","Steel Wing","Aerial Ace","15.41","352.7","33.71","3096"
"Gallade","Psycho Cut","Synchronoise","15.409","472.7","36.27","3539"
"Jolteon","Thunder Shock","Thunderbolt","15.408","429","35.39","3304"
"Shadow Hippowdon","Bite","Weather Ball Rock","15.408","533.4","37.37","3530"
"Darmanitan (Zen Mode)","Fire Fang","Focus Blast","15.407","658.3","39.39","4276"
"Drampa","Extrasensory","Outrage","15.406","440.1","35.62","3334"
"Zarude","Vine Whip","Dark Pulse","15.405","697.6","39.96","4385"
"Zebstrika","Spark","Wild Charge","15.404","362","33.92","2778"
"Scovillain","Fire Fang","Overheat","15.403","315.6","32.77","2651"
"Gengar","Hex","Psychic","15.402","340.9","33.41","3292"
"Jynx","Pound","Avalanche","15.399","361.2","33.89","2923"
"Delphox","Zen Headbutt","Psychic","15.398","488.8","36.55","3500"
