Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Mudbray,71.1,749,ground,none,75.6,57.5,76,330262,10,499,Mud Slap,Body Slam,Bulldoze,4,5,3,50000
Trumbeak,71,732,normal,flying,77.6,53.9,77,322152,13,500,Peck,Drill Peck,Rock Blast,5,5,1,10000
Golett,70.8,622,ground,ghost,70.5,57.2,88,354894,16,500,Astonish,Brick Break,Night Shade,4,5,5,75000
Litwick (Shadow),70.8,607,ghost,fire,66.1,64.3,89,378071,19.5,499,Astonish,Mystical Fire,Flame Charge,5,5,5,75000
Rockruff,70.8,744,rock,none,72.3,55.6,85,341364,20,497,Rock Throw,Crunch,Rock Tomb,9,10,5,50000
Swinub (Shadow),70.8,220,ice,ground,64.6,57.8,103,384612,26.5,498,Powder Snow,Body Slam,Frustration,5,9,3,50000
Machoke,70.7,67,fighting,none,74.3,55.9,81,336749,9,500,Karate Chop,Brick Break,Cross Chop,5,4,3,50000
Qwilfish (Hisuian),70.7,211,dark,poison,75.1,62.3,71,332446,9,500,Poison Jab,Aqua Tail,Dark Pulse,5,8,3,50000
Shroodle,70.7,944,poison,normal,78,50.8,81,321079,20.5,500,Mud Slap,Acid Spray,Poison Fang,5,4,3,50000
Toxicroak,70.7,454,poison,fighting,78.7,53.3,76,318497,7.5,500,Counter,Drain Punch,Dynamic Punch,7,8,3,50000
Graveler (Alolan),70.5,75,rock,electric,70.1,75.6,67,355377,10,499,Rock Throw,Rock Blast,Stone Edge,8,11,1,10000
Greavard,70.5,971,ghost,none,64.1,69.9,87,389364,19,500,Bite,Dig,Psychic Fangs,25,18,3,50000
Ninetales (Alolan),70.5,38,ice,fairy,66.8,77.7,72,373535,8,499,Charm,Blizzard,Dazzling Gleam,10,7,3,50000
Pumpkaboo (Super),70.5,710,ghost,grass,64.2,70.5,86,388902,15.5,500,Astonish,Grass Knot,Foul Play,5,4,5,75000
Wartortle (Shadow),70.5,8,water,none,62.6,79.5,80,398147,13,500,Bite,Aqua Jet,Frustration,20,35,3,10000
Weedle,70.5,13,bug,poison,63.9,54.6,112,390673,50,500,Bug Bite,Return,Struggle,24,34,1,10000
Chikorita,70.4,152,grass,none,58.8,82.6,87,422523,21,499,Vine Whip,Body Slam,Grass Knot,5,7,3,10000
Combee,70.4,415,bug,flying,56,81.9,97,444383,49,500,Bug Bite,Bug Buzz,,20,0,3,50000
Lucario (Mega),70.4,448,fighting,steel,91.7,54.9,54,271698,5,500,Bullet Punch,Aura Sphere,Blaze Kick,6,6,5,75000
Golett (Shadow),70.2,622,ground,ghost,70.5,57.2,88,354894,16,500,Astonish,Brick Break,Frustration,4,7,5,75000
Hoothoot,70.2,163,normal,flying,52.2,74.2,124,480032,30.5,500,Feint Attack,Aerial Ace,Night Shade,8,8,1,10000
Nidoran Male (Shadow),70.2,32,poison,none,69.1,57,91,358433,22.5,499,Peck,Body Slam,Frustration,5,9,3,50000
Passimian,70.2,766,fighting,none,75.8,55.7,78,329271,6.5,500,Counter,Brick Break,Brutal Swing,7,6,3,75000
Skorupi (Shadow),70.2,451,poison,bug,57.2,96.2,79,434636,19.5,500,Infestation,Aqua Tail,Cross Poison,3,3,5,75000
Crustle,69.9,558,bug,rock,70,76.5,67,358451,7.5,500,Fury Cutter,Rock Blast,Rock Slide,10,12,1,10000
Overqwil,69.9,904,dark,poison,75.8,62.1,70,329322,6.5,500,Poison Jab,Aqua Tail,Dark Pulse,5,8,5,75000
Pidove,69.9,519,normal,flying,65.3,60.2,97,381720,23,500,Air Slash,Aerial Ace,Air Cutter,5,4,1,10000
Purugly,69.9,432,normal,none,72.8,60.9,77,341050,9.5,499,Scratch,Aerial Ace,Play Rough,23,30,3,50000
Stufful,69.9,759,normal,fighting,70,55,92,353999,14,500,Tackle,Brick Break,Stomp,14,14,1,10000
Zweilous,69.9,634,dark,dragon,70.6,62.8,80,354384,10.5,500,Bite,Body Slam,Dark Pulse,18,25,5,75000
Houndoom,69.8,229,dark,fire,81.7,55.2,68,306593,7,500,Fire Fang,Crunch,Fire Blast,8,14,3,50000
Litleo,69.8,667,fire,normal,70.2,60.9,83,354604,13.5,500,Incinerate,Crunch,Flame Charge,3,3,3,10000
Qwilfish,69.8,211,water,poison,75.5,61.1,71,327787,9,497,Poison Sting,Acid Spray,Aqua Tail,5,4,3,50000
Scrafty,69.8,560,dark,fighting,64.7,91.9,65,386481,8.5,500,Counter,Acid Spray,Foul Play,8,7,3,50000
Bunnelby,69.6,659,normal,none,58.3,70.5,104,427737,44,500,Mud Slap,Bulldoze,Dig,5,5,1,10000
Dachsbun,69.6,927,fairy,none,65.1,90.3,65,382287,9,499,Bite,Body Slam,Play Rough,18,30,3,50000
Geodude,69.6,74,rock,ground,69.3,76.1,68,358570,15,499,Rock Throw,Dig,Rock Slide,10,9,1,10000
Golem (Alolan),69.6,76,rock,electric,72.1,70.4,68,345469,6.5,500,Rock Throw,Rock Blast,Stone Edge,8,11,1,10000
Inkay (Shadow),69.6,686,dark,psychic,62.4,67.3,95,399432,21,500,Peck,Frustration,Night Slash,9,5,3,50000
Rowlet,69.6,722,grass,flying,60.9,63.8,105,407852,18.5,500,Leafage,Seed Bomb,Energy Ball,5,7,3,10000
Sandygast,69.6,769,ghost,ground,65.7,68.9,84,380485,15.5,500,Astonish,Earth Power,Sand Tomb,6,4,3,50000
Scatterbug,69.6,664,bug,none,59.3,65.2,109,421177,49,500,Bug Bite,Struggle,,34,0,1,10000
Stonjourner,69.6,874,rock,none,72.6,61.6,77,344467,6,500,Rock Throw,Rock Slide,Stomp,9,8,5,75000
Lumineon,69.5,457,water,none,63.2,79.2,79,395603,10.5,500,Waterfall,Blizzard,Silver Wind,10,6,3,50000
Morpeko (Full Belly),69.5,877,electric,dark,81.8,55.9,67,306591,9.5,500,Bite,Aura Wheel,Outrage,23,30,3,50000
Pidove (Shadow),69.5,519,normal,flying,65.3,60.2,97,381720,23,500,Air Slash,Aerial Ace,Air Cutter,5,4,1,10000
Pumpkaboo (Large),69.5,710,ghost,grass,65.2,71.5,82,382517,15.5,499,Astonish,Grass Knot,Foul Play,5,4,5,75000
Sandile,69.5,551,ground,dark,78.1,47.7,86,320479,18.5,500,Bite,Bulldoze,Crunch,23,23,5,75000
Buzzwole,69.3,794,bug,fighting,74.1,64.6,70,334812,5.5,500,Counter,Fell Stinger,Lunge,6,8,20,100000
Golbat,69.3,42,poison,flying,67.8,67.4,80,366025,9.5,500,Bite,Air Cutter,Ominous Wind,18,23,1,10000
Wormadam (Sandy),69.3,413,bug,ground,64.1,83.6,73,390814,10.5,500,Bug Bite,Bug Buzz,Bulldoze,20,15,1,10000
Wurmple,69.3,265,bug,none,62.2,58.3,111,402396,39.5,500,Bug Bite,Struggle,,34,0,1,10000
Ferroseed,69.2,597,grass,steel,52.6,104.1,86,471164,21,498,Tackle,Iron Head,Flash Cannon,17,24,3,75000
Shroomish,69.2,285,grass,none,52.2,82.7,111,479238,24.5,500,Bullet Seed,Grass Knot,Seed Bomb,4,4,3,50000
Skwovet,69.2,819,normal,none,59.9,61.1,113,413326,20.5,497,Bite,Body Slam,Crunch,18,23,1,10000
Krokorok,69,552,ground,dark,78,50.6,81,319615,13.5,500,Bite,Bulldoze,Crunch,23,23,5,75000
Mightyena,69,262,dark,none,73.6,60.4,76,338124,9.5,500,Bite,Crunch,Play Rough,23,30,1,10000
Noibat,69,714,flying,dragon,63.1,63.9,97,390966,29.5,499,Bite,Air Cutter,Dragon Pulse,18,28,5,75000
Oranguru,69,765,normal,psychic,64.5,75,80,387253,7.5,500,Confusion,Brutal Swing,Foul Play,3,3,3,75000
Zapdos (Galarian),69,145,fighting,flying,79.3,60.3,66,315439,5.5,500,Counter,Ancient Power,Brave Bird,8,10,20,100000
Bidoof,68.9,399,normal,none,58.8,61.6,116,420813,27.5,499,Tackle,Crunch,Grass Knot,15,17,1,10000
Caterpie,68.9,10,bug,none,58.8,58.8,120,415189,50,494,Bug Bite,Return,Struggle,24,34,1,10000
Mawile,68.9,303,steel,fairy,72,70.2,68,343993,11.5,500,Astonish,Iron Head,Play Rough,5,6,5,75000
Mawile (Shadow),68.9,303,steel,fairy,72,70.2,68,343993,11.5,500,Astonish,Frustration,Iron Head,7,5,5,75000
Palossand,68.9,770,ghost,ground,68.3,70.5,76,366143,8,500,Astonish,Earth Power,Sand Tomb,6,4,3,50000
Rhyhorn (Shadow),68.9,111,ground,rock,65.2,64.3,91,381947,11.5,499,Mud Slap,Bulldoze,Frustration,5,7,3,50000
Ribombee,68.9,743,bug,fairy,78.3,62.4,65,317571,8.5,499,Charm,Bug Buzz,Dazzling Gleam,8,7,1,10000
Chikorita (Shadow),68.7,152,grass,none,58.8,82.6,87,422523,21,499,Vine Whip,Grass Knot,Body Slam,7,5,3,10000
Machoke (Shadow),68.7,67,fighting,none,74.3,55.9,81,336749,9,500,Karate Chop,Brick Break,Cross Chop,5,4,3,50000
Pumpkaboo (Average),68.7,710,ghost,grass,66.8,71.1,79,375014,16,500,Astonish,Grass Knot,Foul Play,5,4,5,75000
Slowpoke,68.7,79,water,psychic,60.4,58.2,118,414998,16,500,Confusion,Psyshock,Water Pulse,3,4,3,50000
Staraptor,68.7,398,normal,flying,82.2,52,71,303388,6.5,499,Gust,Brave Bird,Close Combat,5,4,1,10000
Whiscash,68.7,340,water,ground,62.3,62.3,102,396305,9,498,Mud Shot,Blizzard,Mud Bomb,10,5,1,10000
Aron,68.6,304,steel,rock,63.6,79.4,77,388554,14.5,498,Metal Claw,Body Slam,Iron Head,5,8,1,10000
Clodsire,68.6,980,poison,ground,55.3,66.3,123,451575,10,500,Mud Shot,Acid Spray,Earthquake,6,9,3,50000
Hippopotas (Shadow),68.6,449,ground,none,64,66.5,91,387077,14,500,Bite,Body Slam,Dig,18,25,3,50000
Lickitung,68.6,108,normal,none,55.5,74.6,108,446945,13.5,499,Lick,Body Slam,Hyper Beam,12,27,3,50000
Mantyke,68.6,458,water,flying,57.3,101,75,434176,15.5,499,Bubble,Aerial Ace,Ice Beam,5,5,5,10000
Bunnelby (Shadow),68.4,659,normal,none,58.3,70.5,104,427737,44,500,Mud Slap,Bulldoze,Dig,5,5,1,10000
Chansey,68.4,113,normal,none,34.7,76.5,271,720087,16.5,500,Pound,Dazzling Gleam,Hyper Beam,14,20,5,75000
Charjabug (Shadow),68.4,737,bug,electric,66.5,78,72,373211,11,500,Bug Bite,Crunch,Discharge,15,14,1,10000
Cyndaquil (Shadow),68.4,155,fire,none,71.4,63.7,77,350138,19.5,500,Ember,Swift,Flame Charge,4,6,3,10000
Grimer (Shadow),68.4,88,poison,none,69.5,50.5,102,357792,14,499,Mud Slap,Frustration,Mud Bomb,7,4,3,50000
Trumbeak (Shadow),68.4,732,normal,flying,77.5,54.3,76,319785,12.5,497,Peck,Drill Peck,Frustration,5,9,1,10000
Venomoth (Shadow),68.4,49,bug,poison,73.1,62.7,74,339439,9,500,Bug Bite,Bug Buzz,Frustration,20,24,3,50000
Amoonguss,68.3,591,grass,poison,63.5,60.7,102,393569,9,500,Astonish,Foul Play,Grass Knot,4,5,3,50000
Entei,68.3,244,fire,none,74.7,56,80,334608,5.5,500,Fire Fang,Fire Blast,Flamethrower,14,10,20,100000
Rufflet,68.3,627,normal,flying,73.7,52.9,87,339128,12.5,500,Peck,Aerial Ace,Brave Bird,6,7,5,75000
Wailmer (Shadow),68.3,320,water,none,67.4,39.5,139,370240,13,500,Rollout,Body Slam,Scald,3,4,1,10000
Dragalge,68.1,691,poison,dragon,67.9,83.3,65,367750,8,500,Acid,Aqua Tail,Focus Blast,5,10,3,50000
Grafaiai,68.1,945,poison,normal,78.7,62,65,317161,8.5,499,Mud Slap,Acid Spray,Poison Fang,5,4,3,50000
Nickit,68.1,827,dark,none,62.9,66.4,95,397135,28,500,Quick Attack,Night Slash,Play Rough,5,8,1,10000
Pidgeot (Shadow),68.1,18,normal,flying,67.9,65.1,83,367193,9,500,Air Slash,Aerial Ace,Air Cutter,5,4,1,10000
Slowpoke (Shadow),68.1,79,water,psychic,60.4,58.2,118,414998,16,500,Confusion,Psyshock,Water Pulse,3,4,3,50000
Snivy,68.1,495,grass,none,58.3,79,92,423622,23.5,498,Vine Whip,Seed Bomb,Wrap,5,6,3,10000
Toxel,68.1,848,electric,poison,70.1,55,92,355023,26.5,499,Acid,Power-Up Punch,,5,0,5,75000
Dustox,68,269,bug,poison,54.5,93.5,90,458711,16,500,Confusion,Bug Buzz,Silver Wind,5,4,1,10000
Whimsicott,68,547,grass,fairy,69.1,78.1,67,361602,9.5,499,Charm,Grass Knot,Hurricane,7,9,1,10000
Wingull,68,278,water,flying,73.5,50.8,90,335673,25,497,Quick Attack,Air Cutter,Water Pulse,5,7,3,50000
Annihilape,67.8,979,fighting,ghost,71.9,60.4,80,347330,6,500,Counter,Close Combat,Ice Punch,8,7,3,50000
Gligar (Shadow),67.8,207,ground,flying,63,83.7,75,394972,10,499,Fury Cutter,Aerial Ace,Dig,12,13,5,75000
Oinkologne (Female),67.8,916,normal,none,63.8,63.8,96,390671,7.5,500,Tackle,Body Slam,Dig,12,17,1,10000
Granbull,67.7,210,fairy,none,78.3,52.9,77,319016,7.5,500,Bite,Close Combat,Crunch,23,23,3,50000
Charjabug,67.5,737,bug,electric,66.5,78,72,373211,11,500,Bug Bite,Crunch,Discharge,15,14,1,10000
Nidoqueen,67.5,31,poison,ground,67.8,67.8,80,367526,7.5,500,Bite,Earthquake,Earth Power,33,28,3,50000
Pineco (Shadow),67.5,204,bug,none,62.6,75.4,84,396635,17.5,499,Bug Bite,Frustration,Gyro Ball,24,17,5,75000
Registeel,67.5,379,steel,none,55.2,111.1,73,447239,8,497,Lock On,Flash Cannon,Focus Blast,14,15,20,100000
Furret,67.4,162,normal,none,66.7,60.6,92,371762,10.5,498,Quick Attack,Brick Break,Dig,5,7,1,10000
Machamp,67.4,68,fighting,none,79.8,55.3,71,313734,6.5,500,Bullet Punch,Close Combat,Cross Chop,7,5,3,50000
Patrat (Shadow),67.4,504,normal,none,67.4,58.2,93,364970,24.5,498,Bite,Dig,Frustration,25,35,1,10000
Wartortle,67.4,8,water,none,62.6,79.5,80,398147,13,500,Bite,Aqua Jet,Hydro Pump,20,38,3,10000
Greedent,67.2,820,normal,none,61.9,63.4,103,404404,8,500,Bite,Body Slam,Crunch,18,23,1,10000
Muk,67.2,89,poison,none,67.7,63.2,86,368264,7,500,Acid,Acid Spray,Dark Pulse,6,7,3,50000
Uxie,67.2,480,psychic,none,58.4,101.5,71,420491,7.5,495,Confusion,Future Sight,Swift,5,3,20,100000
Krookodile,67.1,553,ground,dark,78.2,54.7,75,320514,6.5,500,Mud Slap,Brick Break,Crunch,4,5,5,75000
Taillow (Shadow),67.1,276,normal,flying,73.5,50.8,90,335673,25,497,Peck,Aerial Ace,Frustration,6,9,1,10000
Beedrill (Shadow),66.9,15,bug,poison,73.9,60.8,75,337377,10,500,Bug Bite,Aerial Ace,Drill Run,15,15,1,10000
Farfetch'd,66.9,83,normal,flying,67.3,67.8,81,369966,15.5,500,Air Slash,Aerial Ace,Air Cutter,5,4,3,50000
Ivysaur (Shadow),66.9,2,grass,poison,68.7,70,75,360635,11,498,Razor Leaf,Frustration,Power Whip,18,13,3,10000
Klefki,66.9,707,steel,fairy,68.3,79.8,67,364819,9.5,500,Astonish,Draining Kiss,Flash Cannon,6,7,3,50000
Minccino,66.9,572,normal,none,64.6,59.6,100,384969,22.5,500,Charm,Aqua Tail,Swift,5,5,3,50000
Tyranitar,66.9,248,rock,dark,74.9,64.4,69,332940,5,499,Bite,Brutal Swing,Crunch,18,23,5,75000
Vivillon,66.9,666,bug,flying,76.1,49.9,86,326067,10,498,Gust,Aerial Ace,Bug Buzz,4,5,1,10000
Blaziken,66.8,257,fire,fighting,84.2,52,68,297685,6.5,500,Counter,Blast Burn,Blaze Kick,9,7,3,10000
Butterfree (Shadow),66.8,12,bug,flying,74,62.3,73,336907,10.5,499,Bug Bite,Bug Buzz,Frustration,20,24,1,10000
Sizzlipede,66.8,850,fire,bug,70.1,59.2,86,356763,18.5,500,Bug Bite,Crunch,Bug Buzz,15,20,5,75000
Bastiodon (Shadow),66.6,411,rock,steel,47.2,144,78,530296,13,500,Iron Tail,Flamethrower,Flash Cannon,8,10,5,75000
Frillish,66.6,592,water,ghost,62.6,76.8,83,398891,15.5,499,Hex,Night Shade,Ice Beam,4,5,3,50000
Pidgeot,66.6,18,normal,flying,67.9,65.1,83,367193,9,500,Air Slash,Aerial Ace,Air Cutter,5,4,1,10000
Snom,66.6,872,ice,bug,66,61.1,94,379030,47,500,Powder Snow,Bug Buzz,Icy Wind,8,6,5,75000
Taillow,66.6,276,normal,flying,73.5,51.3,90,339275,25.5,500,Peck,Aerial Ace,Return,6,9,1,10000
Budew,66.5,406,grass,poison,60.9,78.2,86,409098,23,500,Razor Leaf,Grass Knot,Energy Ball,13,14,3,10000
Durant,66.5,632,bug,steel,78.2,70.9,57,316081,7,499,Bug Bite,Iron Head,Stone Edge,17,19,3,50000
Meowth (Shadow),66.5,52,normal,none,65.4,63.3,91,376964,26,499,Bite,Body Slam,Dark Pulse,18,25,3,50000
Riolu,66.5,447,fighting,none,77.3,53.1,79,324101,19.5,500,Counter,Blaze Kick,Brick Break,7,7,5,10000
Arcanine (Hisuian),66.3,59,fire,rock,76.1,57.8,74,325462,6,498,Fire Fang,Crunch,Flamethrower,8,10,3,50000
Dewgong,66.3,87,water,ice,59.2,78.1,91,420969,9.5,500,Frost Breath,Aqua Jet,Aurora Beam,8,12,3,50000
Gyarados (Mega),66.3,130,water,dark,78.3,67,59,309317,4,492,Bite,Aqua Tail,Crunch,18,23,1,10000
Hitmontop (Shadow),66.3,237,fighting,none,70.7,87.5,57,352754,9,500,Counter,Close Combat,Frustration,8,12,5,75000
Houndoom (Mega),66.3,229,dark,fire,85.6,60.7,56,290871,5,500,Fire Fang,Crunch,Fire Blast,8,14,3,50000
Jellicent,66.3,593,water,ghost,62.3,71.7,90,401783,8,500,Bubble,Bubble Beam,Ice Beam,4,5,3,50000
Mareanie,66.3,747,poison,water,61.5,73.5,90,406926,20,500,Poison Sting,Sludge Wave,Brine,8,6,3,50000
Poliwhirl,66.3,61,water,none,65.8,67.7,85,378713,13.5,500,Bubble,Bubble Beam,Mud Bomb,4,4,3,50000
Talonflame (Shadow),66.3,663,fire,flying,69.8,65.9,77,353967,8.5,499,Fire Spin,Brave Bird,Fire Blast,6,8,1,10000
Grubbin (Shadow),66.2,736,bug,none,70.2,58.4,86,352549,19.5,499,Bug Bite,Crunch,Frustration,15,24,1,10000
Lycanroc (Midday),66.2,745,rock,none,82.8,53.8,68,302662,7,500,Rock Throw,Crunch,Drill Run,9,9,5,50000
Oddish (Shadow),66.2,43,grass,poison,71,65.7,75,350092,15.5,499,Razor Leaf,Sludge Bomb,Seed Bomb,13,10,3,50000
Slowpoke (Galarian),66.2,79,psychic,none,60.4,58.2,118,414998,16,500,Confusion,Psychic,Psyshock,4,3,3,50000
Vaporeon,66.2,134,water,none,68.7,56.5,93,361124,6,500,Water Gun,Aqua Tail,Hydro Pump,12,25,5,75000
Bombirdier,66,962,flying,dark,73.9,67.8,67,335785,7.5,499,Rock Throw,Aerial Ace,Fly,9,9,5,75000
Lileep,66,345,rock,grass,56.4,84.3,93,442323,15,499,Acid,Ancient Power,Grass Knot,6,7,3,50000
Loudred (Shadow),66,294,normal,none,70.2,48.3,105,356220,14.5,500,Bite,Disarming Voice,Flamethrower,23,28,1,10000
Vigoroth,66,288,normal,none,67.4,65.4,84,370350,9.5,500,Counter,Body Slam,Brick Break,6,7,5,75000
Barbaracle,65.9,689,rock,water,70.5,76.1,66,354431,7,500,Fury Cutter,Cross Chop,Grass Knot,9,13,3,50000
Beedrill,65.9,15,bug,poison,73.9,60.8,75,337377,10,500,Bug Bite,Aerial Ace,Drill Run,15,15,1,10000
Hydreigon,65.9,635,dark,dragon,79.6,59.7,66,313442,5.5,500,Bite,Brutal Swing,Dark Pulse,18,25,5,75000
Turtwig (Shadow),65.9,387,grass,none,65.7,66.8,86,377548,16,498,Razor Leaf,Body Slam,Seed Bomb,9,10,3,10000
Aron (Shadow),65.7,304,steel,rock,63.6,79.4,77,388554,14.5,498,Metal Claw,Body Slam,Frustration,5,10,1,10000
Falinks,65.7,870,fighting,none,73.9,69,66,336850,8,500,Counter,Brick Break,Megahorn,7,10,5,75000
Larvesta,65.7,636,bug,fire,76,57.6,75,328662,12.5,500,Bug Bite,Bug Buzz,Flame Charge,20,17,5,75000
Skarmory (Shadow),65.7,227,steel,flying,60.7,95.1,71,410071,9,499,Air Slash,Brave Bird,Flash Cannon,7,8,5,75000
Darmanitan (Standard),65.6,555,fire,none,87,41.4,79,284730,6,499,Fire Fang,Focus Blast,Overheat,13,10,3,50000
Hitmonchan,65.6,107,fighting,none,74.7,78.8,57,335394,8,500,Bullet Punch,Brick Break,Close Combat,6,7,5,75000
Hitmonchan (Shadow),65.6,107,fighting,none,74.7,78.8,57,335394,8,500,Bullet Punch,Brick Break,Close Combat,6,7,5,75000
Kommo-o,65.6,784,dragon,fighting,72.9,78.7,60,344025,6,500,Dragon Tail,Boomburst,Brick Break,6,4,5,75000
Poipole,65.6,803,poison,none,70,63.4,80,354896,11,499,Peck,Fell Stinger,Sludge Bomb,5,7,20,100000
Conkeldurr,65.4,534,fighting,none,79.6,52,76,314795,6,500,Counter,Brutal Swing,Dynamic Punch,6,8,5,75000
Crocalor,65.4,910,fire,none,69.5,61.3,84,357639,9.5,499,Bite,Crunch,Disarming Voice,23,23,3,10000
Tirtouga,65.4,564,water,rock,66.5,77.6,73,376317,13,500,Water Gun,Ancient Power,Body Slam,15,12,5,75000
Bronzong,65.3,437,steel,psychic,64,88.4,69,389959,8.5,500,Confusion,Bulldoze,Flash Cannon,4,5,3,50000
Ferroseed (Shadow),65.3,597,grass,steel,52.6,104.1,86,471164,21,498,Tackle,Iron Head,Flash Cannon,17,24,3,75000
Hippopotas,65.3,449,ground,none,64,66.5,91,387077,14,500,Bite,Body Slam,Dig,18,25,3,50000
Sharpedo (Shadow),65.3,319,water,dark,96.1,37.6,72,260199,8.5,500,Bite,Crunch,Frustration,23,35,3,50000
Bounsweet,65.1,761,grass,none,55.3,70.4,115,447513,49.5,498,Razor Leaf,Energy Ball,Draining Kiss,14,14,3,10000
Fomantis,65.1,753,grass,none,71.5,53.6,91,349099,26.5,500,Fury Cutter,Leaf Blade,Trailblaze,9,12,3,50000
Jumpluff (Shadow),65.1,189,grass,flying,56.5,90.2,87,443300,12,500,Bullet Seed,Acrobatics,Aerial Ace,5,4,3,50000
Regidrago,65.1,895,dragon,none,69.4,37.6,137,357398,6.5,498,Bite,Breaking Swipe,Dragon Energy,25,23,20,100000
Golduck,65,55,water,none,72.1,64.2,74,342431,7.5,498,Confusion,Bubble Beam,Cross Chop,3,3,3,50000
Houndstone,65,972,ghost,none,69.2,75.4,69,360131,7.5,500,Bite,Dig,Psychic Fangs,25,18,3,50000
Marowak (Alolan) (Shadow),65,105,fire,ghost,64.1,87,70,390287,10.5,500,Fire Spin,Bone Club,Fire Blast,4,8,3,50000
Pumpkaboo (Small),65,710,ghost,grass,67.3,73.2,75,369667,16,500,Astonish,Grass Knot,Foul Play,5,4,5,75000
Shieldon (Shadow),65,410,rock,steel,50.7,132.4,73,490069,22.5,500,Iron Tail,Ancient Power,Frustration,7,10,5,75000
Vullaby,65,629,dark,flying,57.3,78.4,97,435774,15.5,500,Air Slash,Brave Bird,Dark Pulse,7,6,5,75000
Blastoise,64.8,9,water,none,65.2,80.1,73,381507,7.5,500,Bite,Flash Cannon,Hydro Cannon,35,20,3,10000
Snorlax,64.8,143,normal,none,62.3,59.1,109,401137,6,500,Lick,Body Slam,Earthquake,12,22,5,75000
Cetitan,64.7,975,ice,none,70,44,116,357176,6,500,Ice Shard,Avalanche,Body Slam,5,4,3,50000
Growlithe (Shadow),64.7,58,fire,none,73,55.9,83,338348,15,497,Ember,Body Slam,Flamethrower,4,7,3,50000
Kubfu,64.7,891,fighting,none,77.9,54.5,73,310309,10.5,493,Counter,Brick Break,Close Combat,7,8,20,100000
Primeape (Shadow),64.7,57,fighting,none,81.1,57.4,66,307112,8,499,Counter,Close Combat,Cross Chop,8,6,3,50000
Shieldon,64.7,410,rock,steel,50.7,132.4,73,490069,22.5,500,Iron Tail,Ancient Power,Heavy Slam,7,8,5,75000
Slowbro (Galarian),64.7,80,poison,psychic,69.8,60.4,85,358398,8,500,Confusion,Brutal Swing,Drain Punch,3,3,3,50000
Kricketot,64.5,401,bug,none,50.4,74.8,108,407224,50,453,Bug Bite,Struggle,,34,0,1,10000
Mawile (Mega),64.5,303,steel,fairy,72.4,83.7,57,345418,8,500,Astonish,Iron Head,Play Rough,5,6,5,75000
Sharpedo (Mega),64.5,319,water,dark,94.1,49.4,57,265161,6,500,Bite,Crunch,Hydro Pump,23,38,3,50000
Zorua (Hisuian),64.5,570,normal,ghost,87.8,48.9,66,283544,15.5,500,Scratch,Dark Pulse,Foul Play,25,20,5,75000
Altaria (Mega),64.4,334,dragon,fairy,73.2,74.8,62,339570,6,499,Dragon Breath,Dazzling Gleam,Dragon Pulse,14,14,1,10000
Bidoof (Shadow),64.4,399,normal,none,58.8,61.6,116,420813,27.5,499,Tackle,Crunch,Frustration,15,24,1,10000
Bastiodon,64.2,411,rock,steel,47.2,144,78,530296,13,500,Iron Tail,Flamethrower,Flash Cannon,8,10,5,75000
Fletchinder,64.2,662,fire,flying,71.8,58.3,83,347197,13,500,Ember,Aerial Ace,Flame Charge,5,6,1,10000
Gliscor,64.2,472,ground,flying,66.7,82.4,68,373796,7,500,Fury Cutter,Aerial Ace,Earthquake,12,17,5,75000
Lapras,64.2,131,water,ice,61.1,66,101,407381,7,500,Frost Breath,Blizzard,Dragon Pulse,15,11,5,75000
Meowth,64.2,52,normal,none,65.4,63.3,91,376964,26,499,Bite,Body Slam,Dark Pulse,18,25,3,50000
Nidorino,64.2,33,poison,none,69.2,61.8,83,355284,13.5,498,Poison Jab,Dig,Horn Attack,8,5,3,50000
Rhydon,64.2,112,ground,rock,72.6,59.7,79,342370,6,499,Mud Slap,Breaking Swipe,Earthquake,5,7,3,50000
Scraggy,64.2,559,dark,fighting,68,72.5,74,364613,14,499,Feint Attack,Acid Spray,Brick Break,8,7,3,50000
Sharpedo,64.2,319,water,dark,96.1,37.6,72,260199,8.5,500,Bite,Crunch,Hydro Pump,23,38,3,50000
Slowbro,64.2,80,water,psychic,65.6,70,83,380916,7.5,499,Confusion,Drain Punch,Ice Beam,3,4,3,50000
Carvanha (Shadow),64.1,318,water,dark,100.5,30.5,81,248018,18.5,499,Bite,Aqua Jet,Poison Fang,20,20,3,50000
Croconaw (Shadow),64.1,159,water,none,68.2,69.6,77,365535,11,499,Scratch,Crunch,Frustration,23,35,3,10000
Darumaka (Galarian),64.1,554,ice,none,75.6,48.2,90,327845,13,498,Ice Fang,Ice Beam,Ice Punch,10,7,3,50000
Gyarados,64.1,130,water,flying,75.9,61.5,70,326852,5.5,500,Bite,Aqua Tail,Crunch,18,23,1,10000
Hypno,64.1,97,psychic,none,59.5,82.7,85,418558,9,499,Confusion,Fire Punch,Focus Blast,3,6,3,50000
Marowak (Alolan),64.1,105,fire,ghost,64.1,87,70,390287,10.5,500,Fire Spin,Bone Club,Fire Blast,4,8,3,50000
Qwilfish (Shadow),64.1,211,water,poison,75.5,61.1,71,327787,9,497,Poison Sting,Acid Spray,Aqua Tail,5,4,3,50000
